　　道 里 区,330353,1576.2,29
　　南 岗 区,408543,6204.9,33
　　道 外 区,299020,2744.1,18
　　平 房 区,70995,1709.4,0
　　松 北 区,89302,284.6,2
　　香 坊 区,340943,2167,35
　　呼 兰 区,251830,278.1,0
　　阿 城 区,230870,194.4,5
　　双 城 区,276523,107,2
　　依 兰 县,153096,82.9,
　　方 正 县,101660,74.7,8
　　宾 　 县,220953,148.7,0
　　巴 彦 县,246051,207.4,8
　　木 兰 县,102469,79.5,1
　　通 河 县,107620,43.7,0
　　延 寿 县,103859,78.8,0
　　尚 志 市,213669,64.2,21
　　五 常 市,344898,235.3,20
,人,人/平方公里,人
